tiempo,frontal_der,frontal_izq,diagonal_der,diagonal_izq,lateral_der,lateral_izq,trasero_der,trasero_izq,encoder_izq,encoder_der
8.224,63.35,65.69,69.80,413.44,66.20,821.82,64.73,65.56,24.3664,22.6394
8.256,68.87,68.27,61.68,449.18,63.72,873.43,70.96,65.16,24.4606,22.7336
8.288,66.14,68.64,70.21,371.70,66.53,970.02,69.51,69.26,24.5422,22.6896
8.320,66.09,66.87,63.52,369.24,65.32,978.63,63.04,63.88,24.6364,22.7524
8.352,74.45,70.64,62.00,371.04,65.31,1040.14,73.81,65.02,24.7306,22.8152
8.384,67.00,64.41,68.26,362.67,68.35,1097.26,66.55,66.39,24.8311,22.8780
8.416,70.75,71.90,68.02,352.28,64.92,1158.81,67.79,67.71,24.9253,22.9408
8.448,67.89,67.18,66.42,360.04,68.01,1170.14,70.90,68.81,25.0195,23.0036
8.480,66.85,65.72,72.91,344.72,69.36,1231.26,68.50,66.57,25.1137,23.0727
8.512,65.96,67.68,68.70,345.80,72.62,1242.05,67.88,65.66,25.2142,23.1355
8.544,63.12,64.15,63.43,344.34,72.61,1240.36,69.16,65.72,25.3084,23.1983
8.576,64.56,68.16,66.18,73.29,70.01,1290.98,72.45,70.31,25.4026,23.2611
8.608,70.28,61.50,65.23,70.22,70.67,1292.41,70.18,78.15,25.4968,23.3239
8.640,69.72,67.40,62.23,67.45,65.69,1271.21,62.27,86.84,25.5973,23.3930
8.672,69.06,68.94,68.62,67.41,65.05,1312.60,68.48,95.48,25.6915,23.4558
8.704,71.22,65.96,68.32,67.93,72.21,1273.82,67.51,108.44,25.7857,23.5186
8.736,62.44,71.54,69.85,67.11,63.72,1259.08,67.86,108.64,25.8862,23.5814
8.768,67.92,69.66,62.82,68.43,67.98,1242.19,61.35,112.55,25.9804,23.6442
8.800,61.26,66.10,63.21,69.51,69.92,1216.52,70.15,115.00,26.0746,23.7133
8.832,65.22,66.90,70.00,60.43,67.31,1177.45,63.05,113.98,26.1688,23.7761
8.864,66.65,70.96,69.30,70.45,66.09,1215.74,67.21,116.99,26.2692,23.8389
8.896,65.69,63.67,70.43,70.39,64.22,1163.69,72.51,116.19,26.3634,23.9017
8.928,65.86,65.43,66.63,64.11,69.48,1122.51,67.87,118.08,26.4576,23.9645
8.960,60.60,63.04,76.00,67.09,62.98,1068.50,69.21,125.70,26.5581,24.0273
8.992,69.10,70.33,69.69,74.26,71.46,1016.42,60.51,135.44,26.6523,24.0964
9.024,64.30,69.70,65.35,66.58,68.94,1004.57,70.65,144.21,26.7465,24.1592
9.056,66.40,70.60,70.52,74.26,64.28,886.46,68.11,138.73,26.8407,24.2220
9.088,68.19,62.55,66.19,67.30,63.83,857.80,71.39,140.37,26.9412,24.2848
9.120,66.35,70.61,62.01,61.81,66.00,62.15,66.82,147.12,27.0354,24.3790
9.152,70.28,65.54,68.91,73.08,68.47,66.09,64.88,130.22,27.1296,24.4794
9.184,64.75,63.98,66.22,66.57,64.57,65.86,66.31,130.37,27.2238,24.5736
9.216,56.04,68.98,60.29,67.20,68.49,65.76,68.85,140.83,27.3243,24.6678
9.248,65.92,69.86,68.01,66.30,64.57,66.61,65.21,119.74,27.4185,24.7683
9.280,66.81,65.97,67.17,71.54,66.47,70.49,70.61,128.12,27.5127,24.8625
9.312,62.89,66.71,68.91,65.25,62.44,65.28,66.98,135.52,27.6132,24.9567
9.344,65.65,68.86,69.16,60.59,69.22,66.45,70.01,117.18,27.7074,25.0509
9.376,71.89,68.31,69.95,63.27,66.59,71.35,68.62,123.28,27.8016,25.1514
9.408,68.43,66.62,70.84,73.14,64.49,73.43,66.06,128.82,27.8958,25.2456
9.440,70.78,67.62,62.13,64.04,72.82,67.86,66.66,113.76,27.9962,25.3398
